2017-05-16,WA,spokane,\xe2\x80\x93,former,man,one,trump,breaking,deputy,washington,barber,city,county,hills,house,killed,like,listen,live,morning,seattle,@chronavt,black,centralia,first
2017-05-16,ND,man,nd,police,bismarck,family,north,fargo,morning,rain,water,week,county,get,project,trump,close,dakota,drowned,friends,last,lawmakers,million,minnesota,national
2017-05-16,TN,school,county,high,broadview,may,baseball,chainsmokers,first,state,man,pair,softball,time,win,year,elementary,home,one,police,region,tennessee,theft,tickets,today,day
2017-05-16,NY,hampton,@audioboom,via,east,says,27east,beach,may,russia,town,westhampton,@bernieandsid,baseball,launch,part,polls,see,stops,trump,village,new,show,16th,5/16/17
2017-05-16,PA,next,primary,teen,voters,new,5:00,69news,@69news,@emmawrightwfmz,@jamiestovernews,@markshanaberger,@melanie_falcon,@robvaughnnews,airport,albright,appeals,ball,beating,berkscounty,breaking,bus,caffeine,campus,case,center
2017-05-16,RI,@journalkate,pawsox,@pawsox,proposal,says,financing,@ed_achorn,@randyedgar1,apex,baseball,breaking,city,leaders,pawtucket,ri,stadium,trump,warren,new,store,+,@timbritton,air,arrested,arrogance
2017-05-16,NV,el,@sportsxradio,vegas,|,details,las,tiempo,city,kdwntraffic,carson,closed,n,.@seanhannity,5th,cheyenne,de,losee,nevada,open,police,trump,business,first,lasvegas,miss
2017-05-16,CO,denver,colorado,@coloradobizmag,aspen,named,@newscpr,congrats,guide,like,may,world,5280eats,around,best,boom,boulder,gjco,needed,people,police,season,street,summer,times
2017-05-16,CA,bakersfield,man,hwy,@elaina23abc,trump,10-year-old,1m,abortion,bear,border,burglarized,business,carjacking,class,closed,corporation,cut,cyberattack,deaths,family-owned,girl,given,global,hit,involved
2017-05-16,AR,arkansas,back,county,road,russia,saturday,trump,us,asa,available,ayo,bid,big,comey,friday,harrison,hutchinson,jonesboro,leadership,like,log,may,percent,police
2017-05-16,GA,atlanta,county,school,gasupremect,man,arts,news,bar,brunswick,city,found,get,hall,help,high,lee,liberty,said,us,+,5k,@atlantadream
2017-05-16,IA,16-year-old,1st,23:43,6:25
2017-05-16,AZ,county,drive,yuma,1-year-old,barricades,bucket,drug-carrying,happened,high,live,metal,music,uses,vehicle,zoo,new
2017-05-16,CT,house,connecticut,police,new,\xe2\x80\x94,barlow,darien,live,greenwich,high,may,school,baseball,briefing,fall,home,joel,video,boys,college,day,drive,fairfield,roundup
2017-05-16,ME,maine,mesports,@blake_lipton,morning,new,brewer,dies,trump,bangor,bill,classified,details,drug,food,hunt,june,light,old,pricing,put,save,school,seeing,softball,something
2017-05-16,MD,wmdt,police,man,@abc,shooting,county,high,house,trump,bill,council,held,home,office,released,searching,still,summer,two,white,teen,@danieljohnsonwx,adding,along,assault
2017-05-16,MA,police,capecod,franklin,@capecast,@capecod_online,@capecodtimes,boston,@mgleason_mdn,gb,one,st,win,new,@cccalanpollock,@demarest_colin,advanced,airport,amesbury,anniversary,bateman,beach,beverlyma,billerica,boxboroughma
2017-05-16,MO,missouri,break,closers,comedy,5-16-17,5/15,@audioboom,announces,assessments,cape,cards,coffee,conducted,damage,flooding,gov,greitens,hour,ksim,kzim,meeting,morning,politics,st
2017-05-16,MN,minneapolis,best,top,cities,county,projects,twin,video,watch,world,.@steadycraig,@allankngdm,@mariabamfoo,@pizzaluce,act,animal,apparently,block,caught,city,coming,despite
2017-05-16,MI,holland,act,afternoon,choir,rain,today,@,along,begins,future,huron,meeting,morning,pinconning,police,thumb,traffic,check,day,-cooler,12th,5/16
2017-05-16,MT,bdcnews,montana,deputy,bozeman,ap,mtnews,billings,county,high,broadwater,shootout,bomb,killed,moore,southwest,threat,breaking,death,evacuates,mason,motorcade,overnight,police,spans,drug
2017-05-16,MS,dispatches,easter,emergency,fifth,gives,jesus,leave,may,peace,readings,s,said,tuesday,week,world,you."th\xe2\x80\xa6
2017-05-16,SC,blufftontoday,via,@addthis,road,traffic,also,arts,ashley,bluffton,bowman,city,coffee,court,creative,dojc,due,dylann,fisher,get,gop,jail,man,morning,night,open
2017-05-16,KY,man,police,\xe2\x80\x94,kentucky,day,may,@lexwrecks,accident,charge,county,fire,home,jury,school,year,alumni,arrested,cave,could,drive,high,lexington,mow,p.m
2017-05-16,SD,$45,carried,drive-in,getting,group,information,islamic,laptops,oldest,related,shared,state,threat,trump,new
