2017-06-07,WA,kuowrecord,fire,kxly,one,spokane,city,get,@khqlocalnews,back,people,@jasonkappkvew,@paigebpaige_,county,motel,president,see,time,year,@khqmorgan,@kuow,bellingham,last,morning,movie
2017-06-07,RI,@gehrig38,@kirstenglavin,@nickcoit,@ristatepolice,allen,anyone,burkhead,charged,coventry,criminal,day,faces,interview,investigation
2017-06-07,NV,8nn,details,kdwntraffic,rtc/fast,pic,@sportsxradio,blocked,lane,p.m,teddsaid,vegas,w/,watch,15s,@720kdwn,@kenthomson87,@lasvegasnow,@sportsxmichelle,@teddflorendo,check,las,left,crash,today,15n
2017-06-07,CA,@corinhoggard,could,fire,update,@elaina23abc,background,city,dinely,drive,election,ksfomorningshow,little,national,one,park,puff,smoke,structure,time,uk,winston,day,mother,online,/
2017-06-07,AR,nwark,arkansas,nwanews,one,@danajwinter,morning,city,fayetteville,june,@cbsnews,harrison,join,log,run,take,new,@fox24news,@hurtsdonutco,@knwanews,a-state,board,center,coach,donut,donuts
2017-06-07,VT,vermont,|,business,magazine,suncmtynews,budget,@butwhykids,@vermontedition,argus,arts,burlington,charged,check,cholera,column,commentary,cure,daily,development,disease,enewsmakers,eye,featuring,great,help
2017-06-07,IL,chicago,man,video,aurora,investigators,meeting,muslim,rescued,say,28-year-old,@bevrevnews,@tim_obrien10,accord,aclu,adult,brooks,candidates,center,chicagoland,college,cool,cps,fall,fire,follow
2017-06-07,AZ,arizona,rain,smithfire,ua,.@asuatoday,@erinsaiditwould,@uofa,@whitneyclarktv,arias,campus,cochise,column,council,county,enjoy,f\xe2\x80\xa6,grande,issues,italian,neapolitan,operas,researchers,route,safford
2017-06-07,ME,fryeburg,injured,officer,accused,dies,@wgme,\xe2\x80\x98i,andrew,angus,blames,boating,brunswick,co-defendant,conversations,crime,day,dr,expect,grills,heroin,houlton,importing,intelligence,king
2017-06-07,MD,@abcpolitics,abortion,approves
2017-06-07,MA,irish,new,day,haverhill,police,school,local,state,boston,check,first,mass,students,tonight,high,last,bail,ban,board,class,go,graduates,great,held
2017-06-07,OH,toledo,timesavertraffic,13abc,@,co,fire,still,action,attempt,city,crash,fulton,health,hi,liberty,needles,one,pay,say,work,police,car,found,like,live
2017-06-07,MO,closers,@audioboom,deal,via,6/6,@mizzouhoops,blow,coffee,fema,freedom,get,institute,mike,next,presser,religious,scotus,break,help,6-7-17,6/6/17,720am-how,7th,@,@1240klik
2017-06-07,MN,minnesota,@hibbdailytrib,via,baseball,section,mankato,forecast,june,minneapolis,missing,state,video,+,@keycclark,@mark_tarello,across,best,city,county,dept,hot,light,looking,man,southern
2017-06-07,KS,$15,athletes,brother,check,columbus,cuhs,deserved,dylan,facebook,foundation,give,good,guys,honor,jessica,job,named,plea,presented,ridge,saylor,sergeant,sister,week
2017-06-07,MT,mtnews,montana,bdcnews,gianforte,mtpol,extension,missing,state,complaints,yellowstone,ap,charge,cuts,date,mtscores,opinions,triple,assault,city,court,hiker,homicide,mtnews\xe2\x80\xa6,near,north
2017-06-07,SC,gamecocks,blufftontoday,fire,chad,columbia,holbrook,@gregabccolumbia,baseball,coach,@mikeabccolumbia,county,news,next,one,scnews,thesuntoday,us,abc,abccolumbia,accident,chs,city,game,house,injury
2017-06-07,KY,life,man,east,fire,kentucky,lexington,relay,share,road,@archlouky,@fadia_dame_tele,@kcadp,@record_archlou,accident,accused,apartment,area,balloon,cash,class,deputies,express,front,house,mass
2017-06-07,SD,@kgrandstrandaan,@sdgovdaugaard,\xf0\x9f\x8f\x8c,act,archallies,board,breakdown,burckhard,center
