2017-02-10,WA,hill,capitol,river,@chronmatt,road,state,@chronpete,car,chehalis,community,due,fire,flooding,friday,man,park,people,photos,president,rochester,say,tonight,closed,police
2017-02-10,WI,feb,isthmus,students,&gt;&gt,pick,friday,state,tonight,walker,could,county,heroin,madison,school,today,police,\xe2\x80\x93,\xe2\x80\x94,across,arlyn,boost,brings,budget,business
2017-02-10,VT,vermont,suncmtynews,business,|,magazine,ever,vt,free,1st,@vermonttourism,\xc2\xbb,\xf0\x9f\x8d\xaa,\xf0\x9f\x8d\xab,\xf0\x9f\x92\x93,\xf0\x9f\x98\x8d,another,awards,best,bill,businesses,busy,chocolate,cross,eating,editor
2017-02-10,IL,man,armed,bank,park,school,back,charged,decision,department,east,harvard,icymi,knife,loves,machesney,police,robb,rockford,state,suspect,teen,today,accused
2017-02-10,IN,county,man,local,adams,schools,south,accident,adding,basketball,blackford,boys,cams,cars,church,crash,dashboard,de,feb,fort,get,heads,help,hi-tech,high,honors
2017-02-10,IA,action,bracket,district,iahswr,weekend,wrestling,@oabcig,oabcig,@catholicglobe,baby,cutest,three,$50,@raptorwrestling,area,bucks,chamber,enter,fm,fmhs,friday,happy,latest,lee
2017-02-10,AZ,via,students,school,day,home,opinion,season,story,today,@statepress,arizona,asu,brush,days,february,fire,local,prescott,soccer,state,valley,years,.@asu,11:30
2017-02-10,ID,@bsusuccess,boisestate,brown,come,join,pave,9th,\xe2\x80\xa6,aided,anxiety,anxious,area,boise,bridge,broncos,chapter,class,closes,concerns,convicted,county,covered,cross,destruction
2017-02-10,ME,maine,@blake_lipton,police,@kzarrilli,bill,mesports,right,snow,time,two,vote,one,state,accident,basketball,best,breaking,collins,committee,fire,going,help,incident,introduces,kitchen
2017-02-10,MD,county,fire,frederick,police,930wfmd,admissible,blocked,connected,convicted,court,detrick,die,disabled,dogs,five,ft,g,home,homes,homicide,house,left,ln,made,man
2017-02-10,MA,delay,feb,snow,school,tomorrow,two,friday,regional,schools,new,19,@chathampolicema,chatham,hour,housing,power,town,billerica,capecod,closed,dropped,hockey,take,today,morning
2017-02-10,UT,continues,know,swallow,$30m,$4m,also,assets,background,champion,close,comedy,community,current,enter,fast,festival,friend,fyi,gay-rights,gifts,harvey,issue
2017-02-10,MO,de,en,la,closers,@1240klik,@1400kfru,@gycomo,break,cape,coffee,friday,join,kc,ksim,kzim,m\xc3\xa1s,man,meeting,morning,noticias,options,sex,10th,140\xc2\xa0workers
2017-02-10,MN,$71,blaine,calls,change,checks,civic,community,coon,forging,gathered,hmong,man,members,outside,rapids,today,totaling,accused,center
2017-02-10,MI,friday,michigan,part,day,detroit,district,hillsdale,state,today,basketball,check,county,hp,local,start,take,tecumseh,watch,weekend,@cmlife,@gvsu,ad,annual,art
2017-02-10,MT,mtscores,@cmpetey,state,wrestling,havre,montana,@ghsscotties,gets,pins,glasgow,lbs,mtnews,2nd,malta,pin,ponies,mtpol,period,consolation,fall,helena,matches,mtleg,wins,friday
2017-02-10,MS,mississippi,school,board,@nw_warriors,\xe2\x80\x94,east,eccc,msu,basketball,business,central,county,grade,kosciusko,lady,retweeted,teams,2nd,@fairelementary,awesome,bid,bryant,college,evans
2017-02-10,SC,blufftontoday,columbia,beer,music,+,carolina,chili,drink,i-26,south,tonight,weekend,@andyshain,accident,bathed,bowman,calandar,charges,ears,events,going,live,look,morning,needs
2017-02-10,OR,brown,@1855ctuir,@repgregsmith,area,bridge,capitol,closes,concerns,confederated,county,cross,destruction,ecumenical,extension,first-hand,flooding,gets,gov,governor,great,heading,held,house,indian
2017-02-10,SD,via,@plaintalk2,dakota,pipeline,access,state,building,county,first,guilty,high,rapid,bill,company,concealed,daugaard,federal,get,low,may,place,south,time,trump
