2016-09-22,WA,wsu,gonzaga,skagit,|,state,host,player,whatcom,wheat,county,debate,icymi,man,season,@chronnailon,ask,asked,assault,bellingham,candidates,capitol,chris,delayed,departments
2016-09-22,VA,p.m,dsu,first,front,page,today,read,city,tonight,@coastalvamag,@dailyprogress,@thekeyplay,analytics,approves,assaults,august,chance,cnu,country,davis,day,defense,end,fee
2016-09-22,CO,colorado,cosprings,aspen,canyon,denver,us,best,join,see,5280bestrestaurants,@amandamfaison,@coloradobizmag,@ford,@mclea1re,@msdinosauer,@nwsgjt,bengals,busted,chaco,cited,co,cruising,design,development
2016-09-22,CA,@bakersfieldcali,via,menu,first,|,floating,wp,@youtube,part,added,farmers,napa,oct,playlist,video,@cafarmbureau,alameda,biola\xe2\x80\x99s,california,county,create,dave,dead,education,foodtank
2016-09-22,AL,$12,13%,70-bed,=,@eaglelance,@patduggins
2016-09-22,VT,suncmtynews,vermont,|,@envato,\xc2\xbb,business,change,e/enews,magazine,never,see,sports,vt,fall,get,season,17mw,6pm,=,@domhennequin,@fil_dunsky,aftereffects
2016-09-22,GA,county,atlanta,lady,best,dawson,football,sept,hart,runs,get,first,one,police,set,academy,fannin,two,warriors,night,week,beach,bestofatl,game,georgia,lead
2016-09-22,IN,years,brown,dad,mother,offender,prosecutor,sentencing,sept,winners,know,one,alone,appeal,article,bobby
2016-09-22,MA,school,day,new,de,project,take,arlingtonma,nantucket,place,week
2016-09-22,CT,watch,live,new,connecticut,|,@hannetworkct,independent,farmington,girls,ondemand,school,weston,animal,barlow,hoarding,newtown,public,student,meeting,weekend,advisory,boys,break,committee
2016-09-22,ME,maine,freeport,high,mesports,yarmouth,next,wednesday,would,new,$25,5-0,bill,brunswick,community,corners,cruise,day,disease,employees,experience,field,head,health,held,hockey
2016-09-22,MD,@milewis,girl,@cj_lovelace,police,@md511western,officers,says,exit,hagerstown,ficker,baltimore,brito,incident,never,county,@heraldmailnews,asked,maintenance,md,protesters,us,conference,frederick,officer,accident
2016-09-22,OK,died,examiner-enterprise,final,firefighters,hyundai,preparedness,family,million,month,national,one,starts,$31,$400,$6.3,14-0,5k,@ardmoreite,@dwolman_ard,@mcvickerard,@stephen_ard,\xe2\x80\x9cboot,\xe2\x80\x9cthe,\xe2\x80\x9cthey,a.m
2016-09-22,MO,de,@mikebracciano,kq2travels,need,county,-0500,missouri,sep,truman,hannibal,lake,thu,2b,balloon,big,city,fall,first,open,rbi,run,time,utah,homecoming,photos
2016-09-22,MN,digital,paul,september,get,st,$31.5m.\xe2\x80\xa6,35%,@,@mplschamber,@perkinswill,@spacc,access,alerts,apartment,architects,around,capital,celebrate,ceo,christians,competed,complex,create,door,estate
2016-09-22,MI,eagle,golfer,lunda,saturday,umac,art,named,park,week,18-year-old,@micrimestoppers,\xe2\x80\x9cthe,admission,bald,benefit,body,bridge,clean,cocaine,copper,crash,donate,drugs,evan,falls
2016-09-22,MS,\xe2\x80\x93,sept,6:30,@lisamcneece,\xe2\x80\x9cleave,arts,autumn,banner,broadcasting,calhoun,column,created,delight,designs,downtown,gardeners,heights,hosted,kosciusko,kosciusko-attala,master,meet,mhv,monday
2016-09-22,SC,blufftontoday,bluffton_news,dead,found,rd,case,abuse,accident,alabama,baby,bluffton,blvd,bomb,bumper,carolina,child,connecticut,evaluation,fridge,gasoline,gets,judge,leak,mia,money
2016-09-22,KY,@record_archlou,@archbishopkurtz,kentucky,@cc_louisville,breaking,breakingnews,celebration,chef,corto,dining,here:\xe2\x80\xa6,latin-inspired,lima,lundy,open,read,sexual,sharethelex,thank,visit,annual,fall,free,great
2016-09-22,SD,dakota,hostage,tomorrow,police,@sthdakotanews,apartment,lake,low,maria,subject,tussing,west,county,one,state,51f,605-484-4488,@tristateneighbr,ag,americana,appear,armed,block,brookings,brushes
