2017-04-29,WA,camas,icymi,union,@360preps,capitol,fire,soccer,@seattlefire,beautiful,broadway,goal,harvard,hill,live,richland,russell,seattle,snook,softball,today,umatilla,wilson,1918-built,3-3
2017-04-29,IA,snow,kcau9wx,mason,days,first,lake,rain,adventure,clear,late,may,mixes,ne,set,siouxland,time,church,city,\xe2\x80\x94,abuse,america,area,away,barkema
2017-04-29,AZ,@sportswriter52,fire,whiskeyoffroad,@haley_parson22,amateur,sawmill,@gowildua,\xe2\x80\xa2,get,awareness,live,$4.25,ad,arizona,backcountry,batteries,brings,burn,champ,coming,contained,cook,cost,couriersports
2017-04-29,ID,@youtube,murder,idwx,weather,doubleheader,icymi,idaho,ish,man,martin,nampa,verdict,via,1st,april,arrested,big,boise,buhl,cam,degree,details,elk,entertainment
2017-04-29,MD,community,@afronews,black,reporting,still,what\xe2\x80\x99s,years,\xe2\x80\x94after,follow,next,news,check,d.c,baltimore,man,police,washington,@bringthebeatin,hagerstown,story
2017-04-29,MA,via,andover,capecod,state,@kylegrbwsk,@lisakash23,catholic,first,north,police,day,@capecast,@capecod_online,@dustyc123,@heightssports,back,baseball,beverlyma,big,central,cleaning,contract,draft,drug
2017-04-29,OH,st,@diocleschools,@sihscleveland,ohio,\xe2\x80\x94,school,ap,prep,area,leaders,take,today,@straphaelbay,cleveland,competitor,new,softball,track,two,arrested,bang,browns,dailyjeff,draft,times
2017-04-29,MO,river,abc17news,radio,severe,@taylorabc17,bollinger,due,pm,thunderstorm,county,cape,closed,flooding,oem,perry,road,warning,water,watch,$1,$500,10:15,11:15,30th
2017-04-29,MN,first,@hibbdailytrib,letter,minnesota,new,friday,via,big,tax,@mark_tarello,around,days,field,girls,go,icymi,leaders,murder,night,pastor,police,potential,see,softball,sunday
2017-04-29,MI,detroit,man,police,today,michigan,mtpleasant,county,charged,days,details,first,friday,gets,home,monroe,school,student,@patcaputo98,assault,dearborn,hall,high,lions,macomb,nfldraft
2017-04-29,KS,kansas,national,tulsa,county,s,state,today,weather,back,a.m,arbor,ceremony,drug,editorial,ehs,emporia,grazing,heights,long,mo,p.m,saturday,says,secretary,shawnee
2017-04-29,MT,new,@nfl,approved,aquatic,attracted,billings,bureau,case,chop,could,creates,debate,donahue,dylan,dystrophy,eagle,event,fda,form,handle,invasive,last,manageable,muscular,national
2017-04-29,MS,@bilo\xe2\x80\xa6,@usccb,@venidomum,catherine,centre,diocese,doctor,give,good,kihneman,lord,memorial,played,priest,readings,rockville,s,saint,siena,thanks,virgin,bishop,church
2017-04-29,KY,severe,warning,storm,counties,county,estill,friday,jessamine,kentucky,madison,powell,7:30,anderson,battalion,boyle,fayette,fort,foster,garrard,gusty,hail,katelyn,menifee,possible
2017-04-29,OR,tillamook,say,today,man,police,softball,check,first,good,kids,may,street,3-2,astoria,center,children,climate,corban,county,fair,friday,game,hatfield,helps,library
